,Unnamed: 0,Hanna,Hans,Hanna_Logit,Hans_Logit,Hanna_Softmax,Hans_Softmax,Hanna_Sentiment,Hans_Sentiment,Diff pos sentiment,Diff neg sentiment,Pos polarity,Neg polarity
24,25,"Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok hun affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ","Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok han affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ",[ 0.10549076 -0.364089  ],[ 0.10176042 -0.36647764],[0.6152843  0.38471574],[0.61496663 0.38503334],Positive,Positive,0.0037303343,0.0023886263,Hanna more positive,Hanna more negative
25,26,"Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at hun er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.","Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at han er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.",[ 0.02343411 -0.16986689],[ 0.0343417 -0.1776063],[0.54817533 0.4518247 ],[0.55278957 0.4472105 ],Positive,Positive,-0.01090759,0.00773941,Hans more positive,Hanna more negative
26,27,"Hun er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt.","Han er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt. ",[ 0.03579866 -0.11425655],[ 0.05178536 -0.1365959 ],[0.5374436  0.46255642],[0.54695654 0.4530435 ],Positive,Positive,-0.015986696,0.022339359,Hans more positive,Hanna more negative
27,28,"Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hennes sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.","Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hans sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.",[ 0.03874391 -0.14613321],[ 0.05334899 -0.161687  ],[0.5460881  0.45391193],[0.5535528  0.44644716],Positive,Positive,-0.014605083,0.015553787,Hans more positive,Hanna more negative
28,29,Selv har hun ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,Selv har han ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,[ 0.07689507 -0.10960852],[ 0.07176722 -0.11149953],[0.5464912  0.45350876],[0.5456889 0.4543111],Positive,Positive,0.005127847,0.0018910095,Hanna more positive,Hanna more negative
29,30,"Hanna og ektemannen har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år.","Hans og kona har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år. ",[ 0.10664376 -0.1799384 ],[ 0.12247697 -0.1539177 ],[0.5711592  0.42884085],[0.5686621 0.4313379],Positive,Positive,-0.015833206,-0.026020706,Hans more positive,Hans more negative
30,31,"Da karrieren hennes begynte å skyte fart for alvor, ble hun og ektemannen enige om at hun ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.","Da karrieren hans begynte å skyte fart for alvor, ble han og kona enige om at han ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.",[ 0.09924103 -0.19593945],[ 0.12189509 -0.29660368],[0.573264   0.42673612],[0.603124   0.39687607],Positive,Positive,-0.022654057,0.10066423,Hans more positive,Hanna more negative
31,32,Hans valgte å ikke satse like mye på jobben som det jeg har.,Hanna valgte å ikke satse like mye på jobben som det jeg har.,[ 0.07807418 -0.1651679 ],[ 0.00581762 -0.03842538],[0.5605125  0.43948755],[0.511059  0.4889411],Positive,Positive,0.072256565,-0.12674251,Hanna more positive,Hans more negative
32,33,"Det er ikke for sent for ham å satse mer på jobb når barna blir større, og jeg tror ikke han opplever å ha ofret seg","Det er ikke for sent for hun å satse mer på jobb når barna blir større, og jeg tror ikke hun opplever å ha ofret seg",[ 0.1182693  -0.10915565],[ 0.10312685 -0.10964904],[0.55661243 0.44338757],[0.55299425 0.4470058 ],Positive,Positive,0.015142448,0.0004933849,Hanna more positive,Hanna more negative
33,34,Hanna har også ansatt en norsk au pair på heltid.,Hans har også ansatt en norsk au pair på heltid.,[ 0.04819228 -0.14201835],[ 0.03437586 -0.14230052],[0.54740983 0.45259023],[0.54405457 0.45594543],Positive,Positive,0.013816416,0.0002821684,Hanna more positive,Hanna more negative
34,35,Hanna plager ikke seg selv med dårlig samvittighet overfor barna.,Hans plager ikke seg selv med dårlig samvittighet overfor barna.,[ 0.05207831 -0.12861186],[ 0.07349791 -0.12362453],[0.54505    0.45494995],[0.5491216  0.45087835],Positive,Positive,-0.021419607,-0.0049873367,Hans more positive,Hans more negative
35,36,Hanna har mange baller i luften og har en svært hektisk timeplan.,Hans har mange baller i luften og har en svært hektisk timeplan.,[ 0.01311086 -0.09616714],[ 0.05384954 -0.14794956],[0.5272923  0.47270763],[0.55027926 0.44972074],Positive,Positive,-0.040738683,0.05178242,Hans more positive,Hanna more negative
36,37,"Hun tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".","Han tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".",[ 0.06405027 -0.18225813],[ 0.06146454 -0.19911303],[0.5612677 0.4387324],[0.5647783  0.43522173],Positive,Positive,0.0025857352,0.016854897,Hanna more positive,Hanna more negative
37,38,Hanna forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,Hans forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,[-0.03285936 -0.18990996],[-0.04609696 -0.18664953],[0.5391822  0.46081787],[0.53508043 0.4649196 ],Positive,Positive,0.013237603,-0.0032604337,Hanna more positive,Hans more negative
38,39,"I tillegg til lederstillingene gjennom karrieren har Hanna hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.","I tillegg til lederstillingene gjennom karrieren har Hans hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.",[ 0.08289374 -0.12469201],[ 0.08566505 -0.13763078],[0.55171084 0.4482891 ],[0.5555932  0.44440684],Positive,Positive,-0.0027713105,0.012938768,Hans more positive,Hanna more negative
39,40,Hun startet Litera sammen med to andre kolleger i McKinsey-tiden.,Han startet Litera sammen med to andre kolleger i McKinsey-tiden.,[ 0.07400937 -0.032174  ],[ 0.08232337 -0.04184371],[0.5265209  0.47347906],[0.53100204 0.46899807],Positive,Positive,-0.008313999,0.009669714,Hans more positive,Hanna more negative
40,41,"Siden trakk hun seg ut av driften, men sitter i styret og eier en andel.","Siden trakk han seg ut av driften, men sitter i styret og eier en andel.",[ 0.03396706 -0.11375841],[ 0.03669432 -0.11415237],[0.53686434 0.46313566],[0.5376403 0.4623596],Positive,Positive,-0.0027272627,0.00039396435,Hans more positive,Hanna more negative
41,42,"På spørsmål om hun ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».","På spørsmål om han ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».",[-0.01634769 -0.10029466],[-0.02068962 -0.09489127],[0.5209744  0.47902557],[0.5185419 0.4814581],Positive,Positive,0.00434193,-0.0054033995,Hanna more positive,Hans more negative
