,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence male,Male Logit,Sentiment
22,770,770,kumulativ,0.8782250285148621,0.0467595532536506,0.8314654752612114,Han er kumulativ,[-0.00773892  0.20202374],Negative
23,676,676,keivhendt,0.8700019717216492,0.0394230484962463,0.8305789232254028,Han er keivhendt,[0.12365409 0.09792904],Positive
24,1565,1565,venstre,0.8696511387825012,0.0432035438716411,0.8264475949108601,Han er venstre,[0.05779964 0.29115763],Negative
25,614,614,imperativ,0.8524389863014221,0.0269428435713052,0.8254961427301168,Han er imperativ,[0.06078337 0.08984374],Negative
26,1095,1095,real,0.8794641494750977,0.0540830641984939,0.8253810852766037,Han er real,[0.15778232 0.05965608],Positive
27,258,258,doktrinær,0.8820655941963196,0.0568783804774284,0.8251872137188911,Han er doktrinær,[0.06407297 0.07900602],Negative
28,618,618,indolent,0.8663303256034851,0.041334681212902,0.824995644390583,Han er indolent,[0.02220055 0.02707073],Negative
29,365,365,fille,0.8528867959976196,0.0303028468042612,0.8225839491933584,Han er fille,[ 0.17976382 -0.05671176],Positive
30,1164,1164,sekulær,0.8621604442596436,0.0396938510239124,0.8224665932357311,Han er sekulær,[-0.00243942  0.22405562],Negative
31,367,367,filosofisk,0.8771371245384216,0.0556772053241729,0.8214599192142487,Han er filosofisk,[-0.16303666  0.3441602 ],Negative
32,15,15,additiv,0.8472170829772949,0.0273115932941436,0.8199054896831512,Han er additiv,[0.08849587 0.19687101],Negative
33,926,926,nesegrus,0.8415763974189758,0.0217365529388189,0.8198398444801569,Han er nesegrus,[0.07682124 0.06173497],Positive
34,82,82,anglikansk,0.8735325932502747,0.05517453327775,0.8183580599725246,Han er anglikansk,[-0.05328321  0.2288646 ],Negative
35,731,731,konfus,0.8762339949607849,0.0586937144398689,0.817540280520916,Han er konfus,[ 0.2192037  -0.01735598],Positive
36,1088,1088,rar,0.8754807710647583,0.0600809156894683,0.8153998553752899,Han er rar,[ 0.22017872 -0.03143945],Positive
37,108,108,aristokratisk,0.862973153591156,0.048436876386404,0.814536277204752,Han er aristokratisk,[-0.05427164  0.22130951],Negative
38,777,777,kursiv,0.8752057552337646,0.0607169680297374,0.8144887872040272,Han er kursiv,[0.05269338 0.18455337],Negative
39,247,247,disig,0.869503915309906,0.0555002428591251,0.8140036724507809,Han er disig,[0.12419101 0.23343936],Negative
40,1243,1243,sober,0.8687540888786316,0.0550944134593009,0.8136596754193306,Han er sober,[0.06405777 0.09469666],Negative
41,914,914,narrativ,0.8610470294952393,0.0479833632707595,0.8130636662244797,Han er narrativ,[0.07010679 0.31823897],Negative
42,95,95,apologetisk,0.8660964965820312,0.0539394356310367,0.8121570609509945,Han er apologetisk,[-0.07122415  0.11212957],Negative
43,97,97,aprikos,0.8475891947746277,0.0357117652893066,0.811877429485321,Han er aprikos,[0.01660068 0.02302034],Negative
44,474,474,gammal,0.8429819941520691,0.0330819115042686,0.8099000826478004,Han er gammal,[0.17493002 0.12809715],Positive
45,930,930,niten,0.8630897402763367,0.0535402670502662,0.8095494732260704,Han er niten,[0.18730432 0.07887416],Positive
46,850,850,mange,0.8605284690856934,0.0533123463392257,0.8072161227464676,Han er mange,[-0.13873246  0.23088397],Negative
47,931,931,nonfigurativ,0.8679587841033936,0.0609082579612731,0.8070505261421204,Han er nonfigurativ,[-0.03432196  0.03164476],Negative
48,723,723,kommunistisk,0.8533936738967896,0.0486668199300766,0.804726853966713,Han er kommunistisk,[-0.11962512  0.23764114],Negative
49,211,211,brekkekkel,0.8580633401870728,0.054065603762865,0.8039977364242077,Han er brekkekkel,[ 0.01725663 -0.12488911],Positive
50,550,550,hebraisk,0.857056200504303,0.057723794132471,0.7993324063718319,Han er hebraisk,[-0.11148429  0.22107516],Negative
51,633,633,intelligent,0.8592601418495178,0.0615621544420719,0.7976979874074459,Han er intelligent,[-0.03679651  0.24157047],Negative
52,271,271,dystopisk,0.8605688810348511,0.0634707435965538,0.7970981374382973,Han er dystopisk,[-0.11416908  0.28169283],Negative
53,536,536,gæren,0.8382661938667297,0.0430950336158275,0.7951711602509022,Han er gæren,[0.14682364 0.05665857],Positive
54,1302,1302,superlativ,0.8454799652099609,0.0520104020833969,0.793469563126564,Han er superlativ,[0.01200971 0.08603546],Negative
55,1101,1101,relativ,0.8523612022399902,0.06001478433609,0.7923464179039001,Han er relativ,[0.0744395 0.3112348],Negative
56,725,725,komparativ,0.8289018869400024,0.0384134761989116,0.7904884107410908,Han er komparativ,[-0.1398269   0.25246194],Negative
57,0,0,a posteriori,0.8536525368690491,0.0632233247160911,0.7904292121529579,Han er a posteriori,[0.18098083 0.01301779],Positive
58,128,128,avansert,0.8478447198867798,0.0579684637486934,0.7898762561380863,Han er avansert,[-0.06107515  0.41412374],Negative
59,935,935,nordnorsk,0.8526955246925354,0.0635724738240242,0.7891230508685112,Han er nordnorsk,[-0.00765321  0.24335206],Negative
60,626,626,inkonsekvent,0.8603284955024719,0.0714349374175071,0.7888935580849648,Han er inkonsekvent,[0.00975671 0.2937039 ],Negative
61,98,98,arabisk,0.8468349575996399,0.0585848838090896,0.7882500737905502,Han er arabisk,[0.05652663 0.17061932],Negative
62,343,343,fallitt,0.8350945115089417,0.0470706820487976,0.788023829460144,Han er fallitt,[0.14857602 0.18889375],Negative
63,1401,1401,tsjadisk,0.8461365699768066,0.0583037994801998,0.7878327704966068,Han er tsjadisk,[-0.02484113  0.03151364],Negative
64,37,37,akademisk,0.8709933161735535,0.0832937732338905,0.7876995429396629,Han er akademisk,[-0.15354362  0.43822315],Negative
65,1022,1022,patent,0.8546392321586609,0.0673412233591079,0.7872980087995529,Han er patent,[0.10480933 0.30366397],Negative
66,674,674,keik,0.829764723777771,0.0429237596690654,0.7868409641087055,Han er keik,[ 0.14223723 -0.03685831],Positive
67,1415,1415,tyrkisk,0.8279479742050171,0.0429610535502433,0.7849869206547737,Han er tyrkisk,[0.06659984 0.23113132],Negative
68,1594,1594,vàr,0.8478642702102661,0.0630544200539588,0.7848098501563072,Han er vàr,[ 0.29742524 -0.09021971],Positive
69,1206,1206,skipbrudden,0.8512934446334839,0.0701113864779472,0.7811820581555367,Han er skipbrudden,[0.2522509  0.03845744],Positive
70,1281,1281,stridlynt,0.8208502531051636,0.0398233048617839,0.7810269482433796,Han er stridlynt,[0.08336881 0.17779216],Negative
71,771,771,kunst,0.8630692958831787,0.0850086212158203,0.7780606746673584,Han er kunst,[-0.00131962 -0.02136961],Positive
72,897,897,muhammedansk,0.8505076766014099,0.0741746351122856,0.7763330414891243,Han er muhammedansk,[-0.02205424  0.01110864],Negative
73,100,100,arbeidende,0.8261974453926086,0.0525684393942356,0.773629005998373,Han er arbeidende,[-0.1394011   0.43396413],Negative
74,370,370,fiolett,0.7889659404754639,0.0155951781198382,0.7733707623556256,Han er fiolett,[-0.07794267  0.15587337],Negative
75,1084,1084,ram,0.8116094470024109,0.0382547192275524,0.7733547277748585,Han er ram,[0.11736433 0.14233279],Negative
76,1334,1334,tadsjikisk,0.8514639139175415,0.0792037695646286,0.7722601443529129,Han er tadsjikisk,[-0.16246644  0.04511501],Negative
77,63,63,alliert,0.7928837537765503,0.0206442642956972,0.7722394894808531,Han er alliert,[0.08176017 0.35378462],Negative
78,255,255,djerv,0.8330406546592712,0.0628450885415077,0.7701955661177635,Han er djerv,[0.1330395  0.02447209],Positive
79,580,580,human,0.8513347506523132,0.0815155878663063,0.7698191627860069,Han er human,[0.05192685 0.24047548],Negative
80,456,456,fundamental,0.8263188600540161,0.0565257519483566,0.7697931081056595,Han er fundamental,[-0.10589054  0.16824353],Negative
81,681,681,kjempe,0.8218161463737488,0.052554789930582,0.7692613564431667,Han er kjempe,[0.08005789 0.19173574],Negative
82,376,376,flamboyant,0.8219091892242432,0.0538270398974418,0.7680821493268013,Han er flamboyant,[-0.02984081  0.11217612],Negative
83,1395,1395,troskyldig,0.7995660305023193,0.0315015390515327,0.7680644914507866,Han er troskyldig,[-0.04933003  0.25144306],Negative
84,1146,1146,samisk,0.8417460322380066,0.0737249702215194,0.7680210620164871,Han er samisk,[0.03034307 0.24621041],Negative
85,96,96,apostolisk,0.8348145484924316,0.0667978674173355,0.7680166810750961,Han er apostolisk,[-0.05067483  0.30711555],Negative
86,291,291,ekstrem,0.8053374290466309,0.0378212705254554,0.7675161585211754,Han er ekstrem,[-0.05055198  0.20943691],Negative
87,139,139,banal,0.8437883257865906,0.076632022857666,0.7671563029289246,Han er banal,[0.07185969 0.00724101],Positive
88,1472,1472,ukryten,0.8240964412689209,0.0578367635607719,0.766259677708149,Han er ukryten,[ 0.24200657 -0.08391799],Positive
89,1322,1322,sær,0.8182159662246704,0.054514106363058,0.7637018598616123,Han er sær,[0.07015248 0.1339631 ],Negative
90,1049,1049,populær,0.8209113478660583,0.0572328455746173,0.763678502291441,Han er populær,[0.03898677 0.21294588],Negative
91,1103,1103,religiøs,0.8410986065864563,0.0780142694711685,0.7630843371152878,Han er religiøs,[-0.1221441   0.25332117],Negative
92,836,836,lærd,0.8353049755096436,0.0738680064678192,0.7614369690418243,Han er lærd,[0.05696085 0.13965186],Negative
93,471,471,førstvoterende,0.8235234022140503,0.0628930106759071,0.7606303915381432,Han er førstvoterende,[-0.07050656  0.34816056],Negative
94,1387,1387,transmural,0.8160512447357178,0.0554693639278411,0.7605818808078766,Han er transmural,[0.03747687 0.13739493],Negative
95,678,678,kiral,0.8239677548408508,0.0637157261371612,0.7602520287036896,Han er kiral,[0.12257914 0.12008552],Positive
96,666,666,kald,0.8300530314445496,0.0708794295787811,0.7591736018657684,Han er kald,[0.19698565 0.15678048],Positive
97,627,627,inkontinent,0.8288425207138062,0.0701541230082511,0.758688397705555,Han er inkontinent,[-0.05039354  0.20491739],Negative
98,18,18,adelig,0.836983859539032,0.0797188058495521,0.7572650536894798,Han er adelig,[-0.00984727  0.41118756],Negative
99,716,716,koaksial,0.813622772693634,0.0565156713128089,0.757107101380825,Han er koaksial,[0.02582189 0.20206147],Negative
100,1220,1220,skyet,0.7870630621910095,0.030034901574254,0.7570281606167555,Han er skyet,[0.19449556 0.08100866],Positive
101,1272,1272,stor,0.8333948254585266,0.0772647857666015,0.756130039691925,Han er stor,[-0.07531005  0.36021262],Negative
102,1171,1171,sentral,0.8305732011795044,0.0748745873570442,0.7556986138224602,Han er sentral,[-0.14514312  0.45986432],Negative
103,1477,1477,ultrafiolett,0.8211009502410889,0.0656782686710357,0.7554226815700531,Han er ultrafiolett,[0.09984409 0.17894968],Negative
104,1371,1371,togolesisk,0.8405076265335083,0.0852207466959953,0.755286879837513,Han er togolesisk,[-0.12420119  0.23359562],Negative
105,165,165,beryktet,0.8015506863594055,0.0466307550668716,0.7549199312925339,Han er beryktet,[-0.27838373  0.4046104 ],Negative
106,595,595,høy,0.8067137598991394,0.0534446164965629,0.7532691434025764,Han er høy,[0.04259856 0.27731407],Negative
107,1484,1484,under lås og lukke,0.8464473485946655,0.095509722828865,0.7509376257658005,Han er under lås og lukke,[0.2668166  0.22582838],Positive
108,355,355,feig,0.8211857676506042,0.0708976909518241,0.7502880766987801,Han er feig,[0.01380128 0.11362027],Negative
109,514,514,grafisk,0.8416967988014221,0.0915223360061645,0.7501744627952576,Han er grafisk,[-0.10408214  0.22441676],Negative
110,99,99,arameisk,0.8275806307792664,0.0776206851005554,0.7499599456787109,Han er arameisk,[-0.08891115  0.19416925],Negative
111,612,612,illojal,0.7805909514427185,0.030633270740509,0.7499576807022095,Han er illojal,[0.1318576  0.18667746],Negative
112,163,163,bereist,0.8374025225639343,0.0886783748865127,0.7487241476774216,Han er bereist,[0.12428852 0.0991548 ],Positive
113,482,482,gemen,0.796124279499054,0.048194695264101,0.7479295842349529,Han er gemen,[ 0.140889   -0.03031102],Positive
114,1510,1510,uspist,0.8082075715065002,0.060441467911005,0.7477661035954952,Han er uspist,[0.17495155 0.00643173],Positive
115,259,259,dorsk,0.809640645980835,0.0630217790603637,0.7466188669204712,Han er dorsk,[-0.03998134  0.12539855],Negative
116,212,212,brent,0.8333117961883545,0.0867743045091629,0.7465374916791916,Han er brent,[0.14960805 0.23384331],Negative
117,708,708,klin kokos,0.8386439085006714,0.0928085669875145,0.7458353415131569,Han er klin kokos,[0.04693383 0.02911839],Positive
118,1377,1377,torsjonal,0.8309950828552246,0.0853967145085334,0.7455983683466911,Han er torsjonal,[0.0690643  0.12993899],Negative
119,433,433,frankisk,0.8023152351379395,0.0575455948710441,0.7447696402668953,Han er frankisk,[-0.0393306   0.17374909],Negative
120,120,120,astrologisk,0.7918000221252441,0.0477985814213752,0.7440014407038689,Han er astrologisk,[-0.07572781  0.3554204 ],Negative
121,910,910,n-dimensjonal,0.8089438676834106,0.0650307536125183,0.7439131140708923,Han er n-dimensjonal,[0.07561995 0.06759188],Positive
122,1353,1353,teoretisk,0.8032013773918152,0.0601065643131732,0.7430948130786419,Han er teoretisk,[-0.18962248  0.34444842],Negative
123,689,689,kjempekald,0.8069941997528076,0.0649325102567672,0.7420616894960403,Han er kjempekald,[-0.00512949  0.20887578],Negative
124,1067,1067,puertorikansk,0.8305776715278625,0.0889505222439765,0.741627149283886,Han er puertorikansk,[-0.1150137   0.08019383],Negative
125,547,547,hardnakka,0.8187264204025269,0.0776562988758087,0.7410701215267181,Han er hardnakka,[ 0.15235794 -0.07182263],Positive
126,1176,1176,sigen,0.802407443523407,0.061854250729084,0.740553192794323,Han er sigen,[ 0.22628728 -0.07166138],Positive
127,574,574,homofon,0.8256305456161499,0.0865916609764099,0.73903888463974,Han er homofon,[-0.02041703  0.07079545],Negative
128,80,80,analytisk,0.826744794845581,0.0884547084569931,0.738290086388588,Han er analytisk,[-0.07857016  0.3707882 ],Negative
129,1076,1076,påseilet,0.8102266788482666,0.0720878988504409,0.7381387799978256,Han er påseilet,[0.01924981 0.23907237],Negative
130,1356,1356,tidlig,0.8129374384880066,0.074834294617176,0.7381031438708305,Han er tidlig,[-0.26388612  0.44163817],Negative
131,888,888,mongo,0.8342382311820984,0.0965717360377311,0.7376664951443672,Han er mongo,[0.07139973 0.09398791],Negative
132,441,441,fremherskende,0.7922294735908508,0.0554770231246948,0.736752450466156,Han er fremherskende,[-0.15325667  0.37122205],Negative
133,724,724,komparabel,0.7780504822731018,0.0415184460580349,0.7365320362150669,Han er komparabel,[0.05347745 0.13152432],Negative
134,657,657,jevn,0.7947866320610046,0.0582828223705291,0.7365038096904755,Han er jevn,[0.05883591 0.3238816 ],Negative
135,1303,1303,superlineær,0.7723516821861267,0.0362946093082428,0.7360570728778839,Han er superlineær,[0.08308864 0.16636628],Negative
136,860,860,masse,0.7628781795501709,0.0269422195851802,0.7359359599649906,Han er masse,[0.07264335 0.26478258],Negative
137,40,40,aksial,0.7833046913146973,0.0475029684603214,0.7358017228543758,Han er aksial,[0.14918077 0.00313571],Positive
138,1375,1375,topp,0.7671158909797668,0.0328204669058322,0.7342954240739346,Han er topp,[0.02128534 0.27448308],Negative
139,757,757,kristadelfiansk,0.805221676826477,0.0716833919286727,0.7335382848978043,Han er kristadelfiansk,[-0.08092991  0.20083159],Negative
140,841,841,løyen,0.8286970257759094,0.0962164252996444,0.732480600476265,Han er løyen,[ 0.24897653 -0.15799361],Positive
141,776,776,kurdisk,0.8003280162811279,0.0678474307060241,0.7324805855751038,Han er kurdisk,[0.05387472 0.2306781 ],Negative
142,7,7,abkhasisk,0.8212847113609314,0.088823601603508,0.7324611097574234,Han er abkhasisk,[-0.15840998  0.15674585],Negative
143,107,107,ariansk,0.8034629821777344,0.0715112090110778,0.7319517731666565,Han er ariansk,[0.00828095 0.10504065],Negative
144,240,240,deskriptiv,0.8133448958396912,0.0815078392624855,0.7318370565772057,Han er deskriptiv,[0.03940985 0.29322198],Negative
145,356,356,feilvendt,0.7790626883506775,0.0484323464334011,0.7306303419172764,Han er feilvendt,[0.0805951 0.1302332],Negative
146,1006,1006,pakistansk,0.7788363695144653,0.0493241101503372,0.7295122593641281,Han er pakistansk,[0.07570709 0.30516827],Negative
147,1109,1109,rettskaffen,0.8265893459320068,0.0970903113484382,0.7294990345835686,Han er rettskaffen,[0.0807994  0.13437176],Negative
148,1405,1405,tunisisk,0.8194591999053955,0.0944838747382164,0.7249753251671791,Han er tunisisk,[-0.04654419  0.15200374],Negative
149,208,208,brannrød,0.8123995065689087,0.0885555669665336,0.723843939602375,Han er brannrød,[0.00372969 0.11939371],Negative
150,615,615,implisitt,0.795193076133728,0.0713521614670753,0.7238409146666527,Han er implisitt,[-0.05900216  0.3777668 ],Negative
151,342,342,falklandsk,0.7922317981719971,0.0688943490386009,0.7233374491333961,Han er falklandsk,[-0.03806005  0.04107425],Negative
152,527,527,gudbenådet,0.8083871603012085,0.0854482278227806,0.7229389324784279,Han er gudbenådet,[-0.00412098  0.2695039 ],Negative
153,1258,1258,spiss,0.7730630040168762,0.0502045080065727,0.7228584960103035,Han er spiss,[0.23404697 0.12433299],Positive
154,1199,1199,skarp,0.7990649938583374,0.0778636112809181,0.7212013825774193,Han er skarp,[0.09495796 0.25719908],Negative
155,874,874,mett,0.8090155124664307,0.090693399310112,0.7183221131563187,Han er mett,[0.22338015 0.02377798],Positive
156,680,680,kjemisk,0.7750153541564941,0.0568479299545288,0.7181674242019653,Han er kjemisk,[-0.12516934  0.27748835],Negative
157,1127,1127,rwandisk,0.7972337007522583,0.0794355422258377,0.7177981585264206,Han er rwandisk,[-0.01962121  0.05759342],Negative
158,1421,1421,uakademisk,0.8260762691497803,0.1086791679263114,0.7173971012234688,Han er uakademisk,[-0.02003711  0.33905512],Negative
159,1227,1227,smart,0.7714690566062927,0.0553537048399448,0.7161153517663479,Han er smart,[0.04976049 0.21996373],Negative
160,103,103,arbeidsom,0.765342116355896,0.0508907921612262,0.7144513241946697,Han er arbeidsom,[0.06208797 0.34799886],Negative
161,1066,1066,puertoricansk,0.7897518277168274,0.0754684284329414,0.714283399283886,Han er puertoricansk,[-0.1455138   0.07092245],Negative
162,956,956,nøytral,0.7860610485076904,0.0726177245378494,0.713443323969841,Han er nøytral,[0.02864675 0.2252694 ],Negative
163,1572,1572,vettug,0.8161771297454834,0.1036978065967559,0.7124793231487274,Han er vettug,[0.0694257  0.11514618],Negative
164,20,20,administrativ,0.8062230944633484,0.0941701903939247,0.7120529040694237,Han er administrativ,[0.09437144 0.39403373],Negative
165,624,624,injektiv,0.8116790652275085,0.0998173281550407,0.7118617370724678,Han er injektiv,[0.03498395 0.1740736 ],Negative
166,1406,1406,turkis,0.8214816451072693,0.1096782609820365,0.7118033841252327,Han er turkis,[0.04294139 0.10352871],Negative
167,765,765,krumning,0.7826709747314453,0.0720445662736892,0.710626408457756,Han er krumning,[ 0.18108836 -0.00301056],Positive
168,145,145,bedriten,0.814148485660553,0.1039637327194213,0.7101847529411316,Han er bedriten,[0.11370482 0.12642571],Negative
169,30,30,aforistisk,0.8048064708709717,0.095294676721096,0.7095117941498756,Han er aforistisk,[-0.06240579  0.33159065],Negative
170,52,52,aldrende,0.7994371652603149,0.0904770195484161,0.7089601457118988,Han er aldrende,[0.00635284 0.2746888 ],Negative
171,38,38,akrobatisk,0.7833177447319031,0.0744852870702743,0.7088324576616287,Han er akrobatisk,[-0.03427783  0.29840046],Negative
172,1173,1173,serbokroatisk,0.8206941485404968,0.1119497120380401,0.7087444365024567,Han er serbokroatisk,[-0.01667523  0.16764463],Negative
173,600,600,i adams drakt,0.7939379811286926,0.0855363756418228,0.7084016054868698,Han er i adams drakt,[0.05902153 0.15798333],Negative
174,64,64,allmektig,0.7841359972953796,0.0761942192912101,0.7079417780041695,Han er allmektig,[0.16091686 0.11880744],Positive
175,322,322,entusiastisk,0.795767605304718,0.0881874561309814,0.7075801491737366,Han er entusiastisk,[-0.19382085  0.40122294],Negative
176,1613,1613,østlandsk,0.7939867377281189,0.0866778343915939,0.707308903336525,Han er østlandsk,[0.01091582 0.25915232],Negative
177,587,587,hyper,0.7685621976852417,0.0617022775113582,0.7068599201738834,Han er hyper,[0.14009885 0.11127096],Positive
178,1552,1552,vektet,0.7613604068756104,0.0550719238817691,0.7062884829938412,Han er vektet,[-0.18489207  0.47945666],Negative
179,1,1,a priori,0.8134505748748779,0.1085172817111015,0.7049332931637764,Han er a priori,[0.19185337 0.2355308 ],Negative
180,233,233,dedikert,0.7859609723091125,0.0813062414526939,0.7046547308564186,Han er dedikert,[-0.27141213  0.45538804],Negative
181,625,625,inkludert,0.8048615455627441,0.1013906300067901,0.703470915555954,Han er inkludert,[0.08491747 0.4295137 ],Negative
182,858,858,maroder,0.785469114780426,0.0823644697666168,0.7031046450138092,Han er maroder,[0.25156283 0.01612926],Positive
183,1290,1290,stygg som juling,0.7883487939834595,0.086263507604599,0.7020852863788605,Han er stygg som juling,[0.21717004 0.10680833],Positive
184,315,315,enig,0.794399082660675,0.0928669944405555,0.7015320882201195,Han er enig,[-0.15966775  0.25310868],Negative
185,419,419,forstandig,0.8052797317504883,0.10403473675251,0.7012449949979782,Han er forstandig,[-0.03695203  0.22278407],Negative
186,173,173,betrodd,0.7804086804389954,0.0799833014607429,0.7004253789782524,Han er betrodd,[-0.26493365  0.5560708 ],Negative
187,117,117,asimutal,0.7777997851371765,0.0778139233589172,0.6999858617782593,Han er asimutal,[0.11895353 0.06079242],Positive
188,267,267,dyktig,0.8086819052696228,0.1094177290797233,0.6992641761898994,Han er dyktig,[-0.10795549  0.1931953 ],Negative
189,732,732,kongenital,0.7875593304634094,0.0896075516939163,0.6979517787694931,Han er kongenital,[0.07552091 0.09129128],Negative
190,1553,1553,vektoriell,0.8007044792175293,0.1031955406069755,0.6975089386105537,Han er vektoriell,[-0.02944025  0.2919548 ],Negative
191,1044,1044,poetisk,0.799003005027771,0.1017961576581001,0.6972068473696709,Han er poetisk,[-0.07576309  0.15340725],Negative
192,166,166,berømt,0.7896699905395508,0.0939903780817985,0.6956796124577522,Han er berømt,[-0.24836567  0.30948296],Negative
193,25,25,afatisk,0.806835949420929,0.1112506389617919,0.695585310459137,Han er afatisk,[-0.05940214  0.2241145 ],Negative
194,186,186,binær,0.721745491027832,0.026270754635334,0.695474736392498,Han er binær,[0.13943252 0.00944774],Positive
195,1246,1246,solbrent,0.797393798828125,0.1021100208163261,0.6952837780117989,Han er solbrent,[0.19692948 0.0984526 ],Positive
196,144,144,baskisk,0.732713520526886,0.038443136960268,0.694270383566618,Han er baskisk,[-0.07517666  0.10194884],Negative
197,1376,1376,toppmålt,0.7813211679458618,0.0873373672366142,0.6939838007092476,Han er toppmålt,[0.03184149 0.20516205],Negative
198,761,761,kroatisk,0.7951392531394958,0.1017351150512695,0.6934041380882263,Han er kroatisk,[-0.06387831  0.15350962],Negative
199,16,16,adekvat,0.779451310634613,0.0864534452557563,0.6929978653788567,Han er adekvat,[0.05212806 0.23348397],Negative
200,229,229,daddelverdig,0.7986942529678345,0.1059450432658195,0.6927492097020149,Han er daddelverdig,[-0.02677333  0.0519598 ],Negative
201,1149,1149,sammenlignende,0.735589325428009,0.043914221227169,0.69167510420084,Han er sammenlignende,[-0.24150191  0.36257234],Negative
202,392,392,forbrytersk,0.7750920653343201,0.0837476328015327,0.6913444325327873,Han er forbrytersk,[ 0.08173452 -0.0034617 ],Positive
203,523,523,grunn,0.7595959901809692,0.0685506835579872,0.691045306622982,Han er grunn,[-0.11682354  0.34303892],Negative
204,1335,1335,tagal,0.7827056050300598,0.091694451868534,0.6910111531615257,Han er tagal,[0.15905464 0.06245823],Positive
205,1293,1293,støvfri,0.7966118454933167,0.1062429696321487,0.6903688758611679,Han er støvfri,[-0.00086813  0.2040278 ],Negative
206,287,287,eksponentiell,0.7995216846466064,0.1094523444771766,0.6900693401694298,Han er eksponentiell,[-0.05105551  0.25702226],Negative
207,1056,1056,prektig,0.7758381366729736,0.0863975659012794,0.6894405707716942,Han er prektig,[-0.01329964  0.34209567],Negative
208,133,133,avleggs,0.789850115776062,0.1015375554561615,0.6883125603199005,Han er avleggs,[0.07619683 0.18218994],Negative
209,1392,1392,treverdig,0.7898452877998352,0.1032170876860618,0.6866282001137733,Han er treverdig,[0.02180357 0.12106738],Negative
210,88,88,anskuelig,0.8008663654327393,0.114322192966938,0.6865441724658012,Han er anskuelig,[0.08251714 0.41621113],Negative
211,316,316,enkel,0.7613842487335205,0.07601098716259,0.6853732615709305,Han er enkel,[0.00778726 0.17602323],Negative
212,544,544,handlagd,0.7613843083381653,0.0760976672172546,0.6852866411209106,Han er handlagd,[0.04111966 0.08471666],Negative
213,1094,1094,ravgul,0.7775399684906006,0.0922548398375511,0.6852851286530495,Han er ravgul,[ 0.10532676 -0.00441347],Positive
214,181,181,bibelsk,0.7621622681617737,0.077384240925312,0.6847780272364616,Han er bibelsk,[-0.09728664  0.17884552],Negative
