,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
988,988,numerologisk,0.345482736825943,0.0389589890837669,0.306523747742176
1462,1462,trøndersk,0.4188871085643768,0.1124849319458007,0.306402176618576
553,553,gulaktig,0.4344335198402405,0.1298480629920959,0.3045854568481445
75,75,alvorlig,0.4720307290554046,0.167741447687149,0.3042892813682556
1240,1240,sjanselaus,0.3730572760105133,0.0696794912219047,0.3033777847886085
117,117,asimutal,0.367222249507904,0.0640593841671943,0.3031628653407097
1293,1293,snekret,0.4593868553638458,0.1562821120023727,0.3031047433614731
33,33,agitatorisk,0.3926649391651153,0.0901275128126144,0.3025374263525009
1271,1271,skrøpelig,0.4026910662651062,0.1009517684578895,0.3017392978072166
1295,1295,snusfornuftig,0.4218675196170807,0.1201434060931205,0.3017241135239601
453,453,fransk,0.348230630159378,0.0466577485203743,0.3015728816390037
99,99,arabisk,0.3989494442939758,0.0986732020974159,0.3002762421965599
771,771,kongenital,0.3289137184619903,0.0293426383286714,0.2995710801333189
713,713,kjemisk,0.3525537550449371,0.0533451475203037,0.2992086075246334
452,452,framifrå,0.4183998107910156,0.1199489086866378,0.2984509021043777
1657,1657,vis,0.3930852711200714,0.095087818801403,0.2979974523186683
344,344,etiopisk,0.3868849873542785,0.0899096652865409,0.2969753220677376
834,834,latvisk,0.4479544460773468,0.1516953855752945,0.2962590605020523
194,194,blakk,0.3973969519138336,0.1031191572546958,0.2942777946591377
307,307,elektrofysiologisk,0.365139752626419,0.0709307193756103,0.2942090332508087
1232,1232,sinnssyk,0.3991095721721649,0.1054821610450744,0.2936274111270904
37,37,akademisk,0.3718695044517517,0.0795274004340171,0.2923421040177345
459,459,fremgangsrik,0.3297700881958008,0.0395973809063434,0.2901727072894573
1253,1253,skarp,0.40166836977005,0.1123892292380333,0.2892791405320167
686,686,ivoriansk,0.3459851145744324,0.0574604123830795,0.2885247021913528
78,78,amfibisk,0.3483687341213226,0.05985027551651,0.2885184586048126
702,702,kanakas,0.3396232724189758,0.0512617565691471,0.2883615158498287
1450,1450,treig,0.407092809677124,0.119762934744358,0.2873298749327659
974,974,nidkjær,0.3258485794067383,0.0395964719355106,0.2862521074712276
145,145,barokk,0.3066965341567993,0.021108403801918,0.2855881303548813
1663,1663,voldsom,0.4097158014774322,0.1241420358419418,0.2855737656354904
1586,1586,utenlandsk,0.401149719953537,0.1160509958863258,0.2850987240672111
1130,1130,radikal,0.4214926362037658,0.1384575814008712,0.2830350548028946
1014,1014,omfangsrik,0.3461560010910034,0.063261978328228,0.2828940227627754
1350,1350,styrkemessig,0.3880862891674042,0.1052959337830543,0.2827903553843498
56,56,alifatisk,0.3239956796169281,0.0417669042944908,0.2822287753224373
1690,1690,østerriksk,0.3280404210090637,0.0470189154148101,0.2810215055942535
937,937,mosegrodd,0.3834084272384643,0.1025411933660507,0.2808672338724136
1055,1055,oversiktlig,0.4255298674106598,0.1450058668851852,0.2805240005254745
1070,1070,patent,0.3180199265480041,0.0378740206360816,0.2801459059119224
82,82,angivelig,0.4097489416599273,0.1299629211425781,0.2797860205173492
888,888,makedonsk,0.3032720983028412,0.0237135458737611,0.27955855242908
774,774,konservativ,0.3269293308258056,0.0474513359367847,0.2794779948890209
810,810,kummerlig,0.3875072300434112,0.1107196509838104,0.2767875790596008
1485,1485,uakademisk,0.3831441104412079,0.1063742786645889,0.2767698317766189
681,681,isotonisk,0.3059254586696625,0.0294525790959596,0.2764728795737028
1480,1480,tåkete,0.3358980715274811,0.0594893507659435,0.2764087207615375
93,93,ansvarsløs,0.4273138642311096,0.1515809595584869,0.2757329046726227
1112,1112,protoindoeuropeisk,0.3182348906993866,0.042545098811388,0.2756897918879986
77,77,amerikansk,0.3401778638362884,0.0650210529565811,0.2751568108797073
208,208,botanisk,0.3453209400177002,0.0702725201845169,0.2750484198331833
1135,1135,rappkjeftet,0.3888657391071319,0.1144577711820602,0.2744079679250717
882,882,løs,0.4334650039672851,0.1593593209981918,0.2741056829690933
202,202,blodig,0.3780189454555511,0.1056997701525688,0.2723191753029823
536,536,godt stekt,0.3436043858528137,0.0740206614136695,0.2695837244391441
1102,1102,prektig,0.3125636279582977,0.0433435663580894,0.2692200616002083
184,184,bibelsk,0.3178926706314087,0.0487607903778553,0.2691318802535534
1147,1147,regnbar,0.3435319662094116,0.074958711862564,0.2685732543468475
103,103,arbeidsom,0.3998888731002807,0.1315833032131195,0.2683055698871612
637,637,ildfast,0.3302274644374847,0.0619817227125167,0.2682457417249679
1563,1563,uoversiktlig,0.4820541441440582,0.2138353735208511,0.2682187706232071
683,683,israelittisk,0.3107466101646423,0.0425280705094337,0.2682185396552086
1011,1011,offisiøs,0.3395271003246307,0.0715414509177208,0.2679856494069099
620,620,høg,0.3350902199745178,0.0673950985074043,0.2676951214671135
883,883,løsaktig,0.3716882765293121,0.1052192151546478,0.2664690613746643
107,107,aristokratisk,0.2794890999794006,0.0138516817241907,0.2656374182552099
356,356,falsk,0.3242003619670868,0.0587555915117263,0.2654447704553604
1321,1321,stein,0.3469516336917877,0.0817620158195495,0.2651896178722381
500,500,gavmild,0.2951897084712982,0.030320331454277,0.2648693770170212
196,196,blaut,0.3364654183387756,0.0720759257674217,0.2643894925713539
520,520,gjerrig,0.3531824052333832,0.0892887040972709,0.2638937011361122
1556,1556,undersjøisk,0.3809585869312286,0.1172716170549392,0.2636869698762893
1512,1512,ufordragelig,0.3580727279186249,0.0947313606739044,0.2633413672447204
138,138,avslappa,0.3580743968486786,0.0957009643316268,0.2623734325170517
54,54,algebraisk,0.2860918045043945,0.0239340998232364,0.262157704681158
503,503,gemen,0.3515670001506805,0.0900707393884658,0.2614962607622146
545,545,grundig,0.4140184223651886,0.1532034873962402,0.2608149349689483
704,704,kardiotoksisk,0.3773006796836853,0.1173537522554397,0.2599469274282455
480,480,fyldig,0.3301334977149963,0.0719149112701416,0.2582185864448547
560,560,gørrkjedelig,0.3507818877696991,0.0936974957585334,0.2570843920111656
1578,1578,usjenert,0.4056218564510345,0.1486050188541412,0.2570168375968933
756,756,koffeinholdig,0.3821682929992676,0.1257680654525756,0.2564002275466919
446,446,forunderlig,0.3423891365528106,0.0862284898757934,0.2561606466770172
1429,1429,tjukk,0.3343158960342407,0.078252874314785,0.2560630217194557
679,679,islandsk,0.3611843883991241,0.106387086212635,0.2547973021864891
748,748,klok,0.3623188734054565,0.1075686439871788,0.2547502294182777
102,102,arbeidsløs,0.3744745552539825,0.1197542250156402,0.2547203302383423
1312,1312,spirituell,0.3680005669593811,0.1135077625513076,0.2544928044080734
926,926,mobil,0.4180379509925842,0.1636324971914291,0.2544054538011551
1269,1269,skrivefør,0.4381218552589416,0.1848570853471756,0.253264769911766
1401,1401,taktisk,0.3261078894138336,0.0729761123657226,0.2531317770481109
688,688,jambisk,0.2978227734565735,0.0447137579321861,0.2531090155243873
165,165,bereist,0.4124141335487366,0.1593533605337143,0.2530607730150223
1051,1051,overnaturlig,0.2925022542476654,0.0406825393438339,0.2518197149038315
1137,1137,rasjonal,0.2900922298431396,0.0385210029780864,0.2515712268650532
905,905,matematisk,0.2933238744735718,0.0418990813195705,0.2514247931540012
509,509,germansk,0.2847272753715515,0.0334641858935356,0.2512630894780159
750,750,knepen,0.3718365132808685,0.121513694524765,0.2503228187561035
416,416,forfalsket,0.3386197984218597,0.0886977463960647,0.2499220520257949
717,717,kjempedårlig,0.4242081344127655,0.1746315956115722,0.2495765388011932
630,630,idiomatisk,0.3409863710403442,0.0915465578436851,0.2494398131966591
177,177,betydelig,0.3099876046180725,0.0626522749662399,0.2473353296518325
1260,1260,skipbrudden,0.3425960838794708,0.0955183207988739,0.2470777630805969
508,508,geometrisk,0.2962715923786163,0.0495758801698684,0.2466957122087478
689,689,japansk,0.3546555936336517,0.1081110462546348,0.2465445473790168
381,381,filosofisk,0.275719404220581,0.0292733181267976,0.2464460860937833
1369,1369,svikefull,0.3227411806583404,0.0765098482370376,0.2462313324213028
1262,1262,skjelmsk,0.3099988400936126,0.0639935955405235,0.2460052445530891
359,359,fantelig,0.3917016685009002,0.1463204771280288,0.2453811913728714
118,118,askefast,0.3575016260147095,0.1122550666332244,0.2452465593814849
1346,1346,stupid,0.3195918500423431,0.0750109627842903,0.2445808872580528
266,266,doven,0.3377109169960022,0.0936757773160934,0.2440351396799087
1404,1404,tallrik,0.2695518434047699,0.0257635936141014,0.2437882497906685
705,705,karslig,0.3853610157966614,0.1416441053152084,0.2437169104814529
732,732,kjett,0.363912433385849,0.1204413846135139,0.243471048772335
1217,1217,selsom,0.2992675304412842,0.0559109896421432,0.2433565407991409
1196,1196,samisk,0.3882802426815033,0.1449353992938995,0.2433448433876037
1304,1304,spansk,0.276091992855072,0.0333320759236812,0.2427599169313907
228,228,buet,0.2987810373306274,0.0560959428548812,0.2426850944757461
698,698,jødisk,0.3040654361248016,0.0623348951339721,0.2417305409908294
1187,1187,saktmodig,0.309262603521347,0.0675972029566764,0.2416654005646705
1173,1173,rusk,0.3979920148849487,0.1564615815877914,0.2415304332971573
946,946,muskuløs,0.305122047662735,0.0636797696352005,0.2414422780275344
31,31,afrikansk,0.2879930436611175,0.0466927550733089,0.2413002885878086
877,877,lystig,0.3403987288475036,0.0994421914219856,0.240956537425518
74,74,alveolar,0.2993548214435577,0.0585815198719501,0.2407733015716076
59,59,alkoholisk,0.3810065984725952,0.1403389126062393,0.2406676858663559
830,830,langtekkelig,0.3511119186878204,0.1108046248555183,0.2403072938323021
49,49,akvatisk,0.3868577182292938,0.1470512747764587,0.239806443452835
762,762,kommunistisk,0.3253347873687744,0.0855483934283256,0.2397863939404487
1000,1000,nødtørftig,0.3749802708625793,0.1358316540718078,0.2391486167907714
1323,1323,sterk som en okse,0.2938016057014465,0.054785631597042,0.2390159741044044
694,694,jordisk,0.2873070836067199,0.0483857467770576,0.2389213368296623
889,889,makeløs,0.2783278226852417,0.0397482179105281,0.2385796047747135
745,745,klin kokos,0.3086443245410919,0.0700927376747131,0.2385515868663787
457,457,frekk som en flatlus,0.3586436808109283,0.1209185048937797,0.2377251759171486
1405,1405,tanzaniansk,0.4007571935653686,0.1631741523742675,0.237583041191101
874,874,lyseblå,0.3640031218528747,0.1266572922468185,0.2373458296060562
465,465,fremtenkt,0.3873867392539978,0.1507315635681152,0.2366551756858825
1475,1475,tykk,0.3592279553413391,0.1230888590216636,0.2361390963196754
961,961,naturstridig,0.3093208074569702,0.0738622844219207,0.2354585230350494
695,695,jovial,0.3110212087631225,0.0757315456867218,0.2352896630764007
1258,1258,skinn,0.3578583002090454,0.1230188459157943,0.234839454293251
1239,1239,sjalu,0.3173150718212127,0.0828452929854393,0.2344697788357734
1056,1056,overskyet,0.3842524290084839,0.1498778909444809,0.234374538064003
885,885,løyen,0.3511552214622497,0.1170022413134574,0.2341529801487922
1546,1546,ulåst,0.3972273766994476,0.1632377207279205,0.2339896559715271
367,367,feig,0.3083537220954895,0.0752126052975654,0.233141116797924
1046,1046,overdådig,0.2744909822940826,0.041509736329317,0.2329812459647655
517,517,gjennomskinnelig,0.3238439261913299,0.0915747284889221,0.2322691977024078
1600,1600,uvanlig,0.3409129679203033,0.1098681613802909,0.2310448065400123
409,409,forbrytersk,0.3212686479091644,0.0904680863022804,0.230800561606884
195,195,blakk som en kirkerotte,0.2571918964385986,0.0268435459583997,0.2303483504801988
835,835,laus,0.3936274647712707,0.1634235233068466,0.2302039414644241
1211,1211,segneferdig,0.3796741366386413,0.1496979743242263,0.2299761623144149
130,130,avansert,0.3144329190254211,0.0851721689105033,0.2292607501149177
662,662,innholdsløs,0.3379746675491333,0.1090441644191742,0.2289305031299591
431,431,fornuftig,0.2914040088653564,0.062776580452919,0.2286274284124374
1313,1313,spiss,0.2937059104442596,0.0651407167315483,0.2285651937127113
1241,1241,sjanseløs,0.3061071932315826,0.0779102593660354,0.2281969338655471
1330,1330,storarta,0.2597689926624298,0.0316238030791282,0.2281451895833015
342,342,estisk,0.3585261702537536,0.1313245892524719,0.2272015810012817
474,474,full som en alke,0.2815428972244262,0.0546258203685283,0.2269170768558979
1488,1488,uanselig,0.2876945734024048,0.0610685758292675,0.2266259975731372
175,175,betraktelig,0.3060602843761444,0.0800594985485076,0.2260007858276367
1504,1504,ubøyelig,0.2820900082588196,0.0562987886369228,0.2257912196218967
1494,1494,ubegavet,0.3216559290885925,0.0962502732872963,0.2254056558012962
1266,1266,skjønn,0.3625233769416809,0.137923777103424,0.2245995998382568
1558,1558,ungarsk,0.2916539907455444,0.0675306916236877,0.2241232991218567
1606,1606,vanartet,0.3351310491561889,0.1110638976097107,0.2240671515464782
234,234,bøyelig,0.2957813739776611,0.0720821097493171,0.2236992642283439
1436,1436,toppmålt,0.2733643054962158,0.0499224998056888,0.2234418056905269
913,913,merkelig,0.2882930934429168,0.0652811527252197,0.2230119407176971
468,468,from,0.2850696146488189,0.0626287087798118,0.2224409058690071
510,510,gift,0.3551841676235199,0.1332183182239532,0.2219658493995666
429,429,fornem,0.2734279036521911,0.0516011118888855,0.2218267917633056
1387,1387,søre,0.3321886360645294,0.1108607202768325,0.2213279157876968
571,571,hardnakka,0.3124008476734161,0.0916836932301521,0.220717154443264
676,676,irsk,0.2467943131923675,0.0261657889932394,0.2206285241991281
148,148,befestet,0.2664386034011841,0.046185340732336,0.220253262668848
97,97,apologetisk,0.2443450540304184,0.0242082756012678,0.2201367784291505
348,348,ettertenksom,0.3655556738376617,0.1457948535680771,0.2197608202695846
115,115,arveløs,0.3460876643657684,0.1267485320568084,0.2193391323089599
155,155,behendig,0.2947311699390411,0.0758674666285514,0.2188637033104896
1348,1348,stygg som juling,0.3716426491737366,0.1532604992389679,0.2183821499347686
951,951,mørk,0.3473567962646484,0.1291248798370361,0.2182319164276123
442,442,fortersket,0.2966065406799316,0.0786270946264267,0.2179794460535049
512,512,giftig,0.3258284330368042,0.1079072728753089,0.2179211601614952
1579,1579,uspist,0.3488685190677643,0.1314503848552703,0.2174181342124939
502,502,gedigen,0.2599819004535675,0.0432270467281341,0.2167548537254333
933,933,mongo,0.2845232784748077,0.0681779533624649,0.2163453251123428
1152,1152,religiøs,0.326986163854599,0.1113138422369957,0.2156723216176033
301,301,ekstrovert,0.389116883277893,0.1735928654670715,0.2155240178108215
1133,1133,rang,0.2629333734512329,0.0479543320834636,0.2149790413677692
917,917,metrisk,0.2359369993209839,0.0209897439926862,0.2149472553282976
722,722,kjempeinteressant,0.4253062903881073,0.2109315693378448,0.2143747210502624
528,528,gnadren,0.3733631372451782,0.1590074449777603,0.2143556922674179
887,887,magisk,0.3202155232429504,0.1058863997459411,0.2143291234970092
1465,1465,tung,0.4310792684555053,0.2167739123106002,0.2143053561449051
391,391,flat,0.3387350440025329,0.1247410029172897,0.2139940410852432
282,282,dødskjedelig,0.2695580422878265,0.0566458962857723,0.2129121460020542
1139,1139,rask,0.3170774281024933,0.104298710823059,0.2127787172794342
1617,1617,vanvittig,0.3361187279224396,0.1239758878946304,0.2121428400278091
633,633,iherdig,0.3995250165462494,0.187555655837059,0.2119693607091903
38,38,akrobatisk,0.3679109215736389,0.1561608016490936,0.2117501199245453
1213,1213,seiglivet,0.2959173917770386,0.0843953415751457,0.2115220502018928
828,828,langsgående,0.2716904580593109,0.0601828172802925,0.2115076407790184
257,257,distingvert,0.2857435941696167,0.0744150876998901,0.2113285064697265
1281,1281,smart,0.3814080953598022,0.1701424717903137,0.2112656235694885
556,556,gylden,0.2872270047664642,0.0761937052011489,0.2110332995653152
581,581,helstøpt,0.2925702929496765,0.0818709656596183,0.2106993272900581
521,521,gjestmild,0.3293448984622955,0.1187831535935401,0.2105617448687553
1192,1192,salt,0.3060143291950226,0.0957529544830322,0.2102613747119903
98,98,aprikos,0.3755127191543579,0.1654020845890045,0.2101106345653534
703,703,kanon,0.277753084897995,0.0680991113185882,0.2096539735794067
68,68,alluvial,0.2479078322649002,0.0382958352565765,0.2096119970083236
1466,1466,tunghørt,0.4003058969974518,0.1907774657011032,0.2095284312963485
167,167,beryktet,0.2485538870096206,0.0391275770962238,0.2094263099133968
213,213,brasiliansk,0.2358278185129165,0.026415430009365,0.2094123885035514
